Guest,Gast
Time tracking,Zeiterfassung
Default activity type,Standard-Tätigkeit
Applied to new time entries unless something else is given.,"Wird in neue Zeiteinträge übernommen, wenn nichts anderes angegeben ist."
Responsible department,Zuständige Abteilung
Determines who can see the ticket and who it is assigned to.,"Bestimmt, wer das Ticket sieht und wem es zugewiesen wird."
Origin,Herkunft
Assigned employee,Zugewiesener Mitarbeiter
Set automatically. The department lead can reassign at any time.,Wird automatisch gesetzt. Die Abteilungsleitung kann jederzeit umverteilen.
Department for incoming tickets,Abteilung für eingehende Tickets
"Tickets from this mailbox get this department. Without an entry the default department from Ticket Billing Settings applies.","Tickets aus diesem Postfach bekommen diese Abteilung. Ohne Eintrag greift die Standardabteilung aus den Ticket-Billing-Einstellungen."
Started at,Gestartet um
Note,Notiz
Ticket Billing Settings,Ticket-Billing-Einstellungen
Ticket Timer,Ticket-Timer
Internal,Intern
External,Extern
A single entry cannot exceed {0} hours.,Ein einzelner Eintrag darf {0} Stunden nicht überschreiten.
Duration too long,Dauer zu lang
Warn after (hours),Warnen nach (Stunden)
"A running timer is highlighted once it exceeds this many hours. Usually it means someone forgot to stop it.","Ein laufender Timer wird ab dieser Dauer hervorgehoben. Meist heißt das, dass jemand vergessen hat, ihn zu stoppen."
"This entry has already been submitted and can no longer be changed.","Dieser Eintrag ist bereits gebucht und kann nicht mehr geändert werden."
Already submitted,Bereits gebucht
You may only submit entries from your own department.,Sie können nur Einträge Ihrer eigenen Abteilung buchen.
You may only change your own entries.,Sie können nur eigene Einträge ändern.
"This entry has several time logs and cannot be edited here.","Dieser Beleg enthält mehrere Zeitzeilen und kann hier nicht bearbeitet werden."
Not editable,Nicht bearbeitbar
{0} time entries in {1} are waiting to be submitted,{0} Zeiteinträge in {1} warten auf die Buchung
"Oldest entries are more than {0} days old. Total: {1} hours.","Die ältesten Einträge liegen über {0} Tage zurück. Summe: {1} Stunden."
Remind about drafts after (days),An Entwürfe erinnern nach (Tagen)
"The department lead gets a daily notification about draft time entries older than this.","Die Abteilungsleitung bekommt täglich einen Hinweis auf Zeiteinträge im Entwurf, die älter sind."
Departments,Abteilungen
Employees,Mitarbeiter
Trend,Verlauf
Tickets,Tickets
Resolved,Erledigt
External share %,Anteil extern %
Avg response (h),Ø Reaktion (Std.)
Avg resolution (h),Ø Lösung (Std.)
Hours total,Stunden gesamt
Hours billable,Stunden abrechenbar
Hours internal,Stunden intern
Hours submitted,Stunden gebucht
Hours draft,Stunden im Entwurf
Open tickets,Offene Tickets
Hours,Stunden
Period,Zeitraum
Total,Gesamt
This evaluation is restricted to management.,Diese Auswertung ist der Geschäftsführung vorbehalten.
Only administrators can manage demo data.,Nur Administratoren können Demo-Daten verwalten.
Demo data is already installed. Remove it first.,Demo-Daten sind bereits installiert. Bitte zuerst entfernen.
Already installed,Bereits installiert
No demo data is installed.,Es sind keine Demo-Daten installiert.
{0} is not a demo user.,{0} ist kein Demo-Benutzer.
"No company exists. Run the ERPNext setup wizard first.","Es existiert keine Firma. Bitte zuerst den ERPNext-Einrichtungsassistenten ausführen."
Setup incomplete,Einrichtung unvollständig
